1,Y14-S2-001,Shooter-Base Plate,U. Unknown,01/01/14,,"S2-001, Added Unknown, and False Date"
2,Y14-S2-002,Shooter-Top Plate,U. Unknown,01/01/14,,"S2-002, Added Unknown, and False Date"
3,Y14-S2-003,Rail-Side,U. Unknown,01/01/14,,"S2-003, Added Unknown, and False Date"
4,Y14-S2-004,Rail-Rear,U. Unknown,01/01/14,,"S2-004, Added Unknown, and False Date"
5,Y14-S2-005,Bracket-Right Angel,U. Unknown,01/01/14,,"S2-005, Added Unknown, and False Date"
6,Y14-S2-006,Bracket,U. Unknown,01/01/14,,"S2-006, Added Unknown, and False Date"
7,Y14-S2-007,Guide - Top,U. Unknown,01/01/14,,"S2-007, Added Unknown, and False Date"
8,Y14-S2-008,Shooter Guide,U. Unknown,01/01/14,,"S2-008, Added Unknown, and False Date"
9,Y14-S2-009,Wheel Hub,U. Unknown,01/01/14,,"S2-009, Added Unknown, and False Date"
10,Y14-A1-001,Hoop Cross bar,D. Brandon,01/21/14,,A1-001
11,Y14-A1-002,45 deg. Support,D. Brandon,01/21/14,,A1-002
12,Y14-A1-003,16 in. 2 by 4,D. Brandon,01/21/14,,A1-003
13,Y14-A1-004,16 in. 2 by 4 (2),D. Brandon,01/21/14,,A1-004
14,Y14-A1-005,Base ply wood,D. Brandon,01/21/14,,A1-005
15,Y14-A1-006,Hoop to catch,D. Brandon,01/21/14,,A1-006
16,Y14-A1-007,shooter prototype,D. Brandon,01/21/14,,A1-007
17,Y14-A1-008,Upright 2 by 4,D. Brandon,01/21/14,,A1-008
18,Y14-M1-001,Upright For Shooter,C. Yuan,01/23/14,,M1-001
19,Y14-M1-002,1 1/4 Pipe For Center Axis,C. Yuan,01/23/14,,M1-002
20,Y14-M1-003,1/2 Pipe For Throw Bar,A. Haitz,01/23/14,,M1-003
21,Y14-M1-004,Mouting Plate,A. Haitz,01/23/14,,M1-004
22,Y14-M1-005,End Plate For ?? ,A. Haitz,01/23/14,,M1-005
23,Y14-M1-006,????,U. Unknown,01/01/14,,"M1-006, Added Unknown and false date"
24,Y14-M1-007,End Bolt,C. Yuan,01/23/14,,M1-007
25,Y14-M1-008,Hoop Assy,D. Brandon,01/23/14,,M1-008
26,Y14-M1-009,Hoop,D. Brandon,01/23/14,,M1-009
27,Y14-M1-010,Hoop Bracket,D. Brandon,01/23/14,,M1-010
